Bronx,Night,Medium Fine,Sedan,20,NO PARKING-DAY/TIME LIMITS
Manhattan,Morning,Medium Fine,Sedan,17,NO STANDING-EXC. AUTH. VEHICLE
Brooklyn,Night,High Fine,SUV,40,FIRE HYDRANT
Manhattan,Night,High Fine,SUV,51,SIDEWALK
Staten Island,Morning,Medium Fine,Sedan,20,NO PARKING-DAY/TIME LIMITS
Brooklyn,Morning,High Fine,SUV,51,SIDEWALK
Manhattan,Morning,High Fine,SUV,14,NO STANDING-DAY/TIME LIMITS
Brooklyn,Morning,Medium Fine,Van,17,NO STANDING-EXC. AUTH. VEHICLE
Queens,Afternoon,High Fine,Sedan,40,FIRE HYDRANT
Manhattan,Night,Medium Fine,Sedan,24,NO PARKING-EXC. AUTH. VEHICLE
Queens,Night,High Fine,Sedan,67,PEDESTRIAN RAMP
Brooklyn,Night,High Fine,SUV,40,FIRE HYDRANT
Manhattan,Morning,Medium Fine,SUV,17,NO STANDING-EXC. AUTH. VEHICLE
Manhattan,Morning,Medium Fine,SUV,17,NO STANDING-EXC. AUTH. VEHICLE
Queens,Night,High Fine,Sedan,14,NO STANDING-DAY/TIME LIMITS
Queens,Morning,High Fine,Sedan,40,FIRE HYDRANT
Brooklyn,Night,High Fine,Sedan,40,FIRE HYDRANT
Brooklyn,Night,High Fine,Sedan,50,CROSSWALK
Manhattan,Night,Medium Fine,SUV,20,NO PARKING-DAY/TIME LIMITS
Queens,Morning,High Fine,Sedan,14,NO STANDING-DAY/TIME LIMITS
Queens,Morning,Medium Fine,Sedan,17,NO STANDING-EXC. AUTH. VEHICLE
Queens,Morning,Medium Fine,SUV,17,NO STANDING-EXC. AUTH. VEHICLE
Brooklyn,Night,High Fine,SUV,40,FIRE HYDRANT
Brooklyn,Morning,High Fine,Sedan,14,NO STANDING-DAY/TIME LIMITS
Brooklyn,Night,High Fine,SUV,40,FIRE HYDRANT
Brooklyn,Night,High Fine,Sedan,67,PEDESTRIAN RAMP
Staten Island,Night,High Fine,Sedan,14,NO STANDING-DAY/TIME LIMITS
Queens,Night,Medium Fine,SUV,98,OBSTRUCTING DRIVEWAY
Bronx,Morning,High Fine,Sedan,53,SAFETY ZONE
Bronx,Morning,Medium Fine,SUV,74,FRONT OR BACK PLATE MISSING
Bronx,Morning,High Fine,SUV,14,NO STANDING-DAY/TIME LIMITS
Bronx,Morning,High Fine,Sedan,19,NO STANDING-BUS STOP
Bronx,Morning,Medium Fine,Sedan,17,NO STANDING-EXC. AUTH. VEHICLE
Bronx,Morning,Medium Fine,Sedan,17,NO STANDING-EXC. AUTH. VEHICLE
Bronx,Morning,Medium Fine,SUV,17,NO STANDING-EXC. AUTH. VEHICLE
Bronx,Morning,High Fine,Sedan,46,DOUBLE PARKING
Bronx,Morning,Medium Fine,Sedan,17,NO STANDING-EXC. AUTH. VEHICLE
Bronx,Morning,High Fine,SUV,48,BIKE LANE
Bronx,Morning,Medium Fine,SUV,98,OBSTRUCTING DRIVEWAY
Bronx,Afternoon,High Fine,SUV,46,DOUBLE PARKING
Bronx,Afternoon,High Fine,SUV,67,PEDESTRIAN RAMP
Bronx,Night,High Fine,Van,46,DOUBLE PARKING
Bronx,Morning,High Fine,SUV,51,SIDEWALK
Bronx,Night,High Fine,Sedan,46,DOUBLE PARKING
Bronx,Night,High Fine,Sedan,46,DOUBLE PARKING
Bronx,Night,High Fine,SUV,50,CROSSWALK
Brooklyn,Morning,Medium Fine,SUV,98,OBSTRUCTING DRIVEWAY
Brooklyn,Morning,High Fine,Sedan,19,NO STANDING-BUS STOP
Brooklyn,Night,Medium Fine,Sedan,20,NO PARKING-DAY/TIME LIMITS
Brooklyn,Night,Medium Fine,SUV,63,NIGHTTIME STD/ PKG IN A PARK
Manhattan,Night,High Fine,SUV,14,NO STANDING-DAY/TIME LIMITS
Brooklyn,Night,Medium Fine,Sedan,98,OBSTRUCTING DRIVEWAY
Brooklyn,Morning,Medium Fine,Sedan,98,OBSTRUCTING DRIVEWAY
Brooklyn,Morning,High Fine,Sedan,46,DOUBLE PARKING
Bronx,Morning,High Fine,SUV,14,NO STANDING-DAY/TIME LIMITS
Bronx,Morning,High Fine,SUV,99,OTHER
Bronx,Morning,High Fine,SUV,51,SIDEWALK
Manhattan,Night,Low Fine,Van,21,NO PARKING-STREET CLEANING
Manhattan,Night,Low Fine,SUV,21,NO PARKING-STREET CLEANING
Queens,Night,Medium Fine,Sedan,20,NO PARKING-DAY/TIME LIMITS
Queens,Night,Low Fine,SUV,21,NO PARKING-STREET CLEANING
Queens,Night,High Fine,SUV,67,PEDESTRIAN RAMP
Brooklyn,Afternoon,Medium Fine,Sedan,98,OBSTRUCTING DRIVEWAY
Queens,Morning,High Fine,SUV,14,NO STANDING-DAY/TIME LIMITS
Queens,Night,High Fine,SUV,40,FIRE HYDRANT
Queens,Night,Medium Fine,Sedan,98,OBSTRUCTING DRIVEWAY
Queens,Morning,High Fine,Sedan,14,NO STANDING-DAY/TIME LIMITS
Queens,Morning,High Fine,SUV,14,NO STANDING-DAY/TIME LIMITS
Queens,Morning,High Fine,SUV,14,NO STANDING-DAY/TIME LIMITS
Queens,Night,Medium Fine,Sedan,74,FRONT OR BACK PLATE MISSING
Queens,Night,High Fine,SUV,14,NO STANDING-DAY/TIME LIMITS
Queens,Morning,High Fine,SUV,51,SIDEWALK
Queens,Morning,Medium Fine,SUV,98,OBSTRUCTING DRIVEWAY
Queens,Morning,High Fine,Sedan,40,FIRE HYDRANT
Queens,Night,High Fine,Sedan,40,FIRE HYDRANT
Queens,Afternoon,High Fine,Sedan,40,FIRE HYDRANT
Queens,Night,High Fine,Sedan,67,PEDESTRIAN RAMP
Queens,Morning,High Fine,SUV,40,FIRE HYDRANT
Queens,Night,High Fine,SUV,19,NO STANDING-BUS STOP
Queens,Morning,Medium Fine,Sedan,98,OBSTRUCTING DRIVEWAY
Brooklyn,Morning,High Fine,Sedan,40,FIRE HYDRANT
Queens,Morning,High Fine,Sedan,46,DOUBLE PARKING
